movie_id,actor_id
1,1
1,2
1,3
2,4
2,5
2,6
3,7
3,8
3,9
4,10
4,11
4,12
5,13
5,14
5,15
6,16
6,17
6,18
7,19
7,20
7,21
8,22
8,23
8,24
9,25
9,26
9,27
10,28
10,29
10,30
11,31
11,32
11,33
12,34
12,35
12,36
13,37
13,38
13,39
14,40
14,41
14,26
15,42
15,43
15,44
16,17
16,45
16,46
17,47
17,48
17,49
18,50
18,51
18,52
19,53
19,54
19,55
20,56
20,57
20,58
21,59
21,60
21,61
22,62
22,63
22,64
23,65
23,51
23,66
24,67
24,68
24,69
25,70
25,71
25,72
26,73
26,74
26,75
27,76
27,77
27,78
28,79
28,80
28,81
29,82
29,83
29,84
30,85
30,86
30,87
31,88
31,89
31,90
33,91
33,92
33,93
34,94
34,95
34,96
35,47
35,97
35,98
36,99
36,100
36,101
37,102
37,103
37,104
38,105
38,106
38,107
39,108
39,109
39,110
40,111
40,112
40,113
41,114
41,32
41,115
42,116
42,117
42,118
43,119
43,120
43,121
44,122
44,123
44,124
45,125
45,126
45,127
46,128
46,129
46,130
48,131
48,132
48,133
49,134
49,135
49,136
50,137
50,138
50,139
51,140
51,141
51,142
51,143
52,144
52,145
52,146
53,147
53,148
53,149
54,106
54,150
54,151
55,152
55,153
55,154
56,155
56,156
56,157
57,63
57,130
57,119
59,158
59,159
59,160
60,161
60,162
60,163
61,164
61,165
61,166
62,167
62,168
62,169
63,170
63,171
63,172
64,173
64,174
64,175
65,176
65,177
65,178
67,16
67,179
67,180
68,181
68,182
68,183
69,184
69,118
69,185
70,186
70,187
70,188
71,189
71,190
71,191
72,192
72,193
72,194
73,195
73,196
73,197
74,198
74,199
74,200
75,201
75,202
75,203
76,204
76,205
76,206
77,207
77,208
77,209
78,210
78,211
78,212
79,77
79,213
79,214
80,215
80,216
80,217
81,218
81,219
81,220
82,221
82,222
82,223
83,224
83,225
83,226
84,227
84,228
84,229
85,230
85,231
85,232
86,233
86,234
86,235
87,236
87,237
87,238
88,239
88,240
88,241
89,242
89,219
89,243
90,244
90,245
90,246
92,247
92,248
92,249
93,250
93,11
93,251
94,126
94,252
94,253
95,254
95,198
95,255
97,256
97,257
97,258
98,259
98,260
98,261
99,262
99,263
99,264
100,16
100,265
100,39
101,266
101,267
101,268
102,269
102,270
102,271
103,272
103,273
103,274
104,275
104,276
104,277
105,278
105,279
105,280
106,281
106,282
106,283
107,284
107,285
107,286
108,287
108,288
108,289
109,27
109,290
109,291
110,292
110,293
110,294
111,17
111,295
111,296
112,297
112,298
112,299
113,279
113,300
113,301
114,302
114,303
114,304
115,305
115,306
115,307
116,74
116,308
116,309
117,310
117,311
117,312
118,313
118,314
118,315
119,218
119,316
119,317
120,318
120,319
120,320
122,250
122,321
122,318
123,322
123,323
123,324
124,325
124,326
124,327
125,315
125,328
125,329
126,330
126,331
126,332
129,333
129,334
129,335
130,336
130,337
130,338
131,126
131,339
131,138
132,340
132,273
132,139
133,341
133,342
133,343
134,344
134,345
134,346
135,347
135,348
135,349
136,350
136,351
137,352
137,353
137,354
138,355
138,356
138,357
139,358
139,359
139,360
140,361
140,362
140,363
140,364
141,4
141,365
141,59
142,366
142,367
142,368
143,33
143,369
143,370
144,371
144,372
144,373
145,374
145,375
145,376
146,377
146,378
146,379
147,380
147,381
147,382
148,383
148,384
148,385
149,386
149,387
149,388
150,1
150,389
150,37
151,300
151,390
151,391
152,392
152,219
152,393
153,18
153,394
153,53
154,395
154,396
154,397
155,328
155,398
155,399
156,186
156,400
156,401
158,270
158,76
158,402
159,186
159,403
159,404
160,405
160,284
160,406
161,407
161,59
161,408
162,409
162,410
162,411
163,51
163,412
163,413
164,407
164,414
164,415
165,416
165,417
165,418
166,419
166,420
166,421
167,422
167,423
167,424
168,425
168,426
168,20
169,330
169,368
169,427
170,428
170,429
170,430
171,431
171,432
171,433
172,434
172,435
172,436
173,65
173,437
173,349
174,176
174,438
174,439
175,440
175,441
175,442
176,443
176,444
176,64
177,445
177,446
177,447
179,448
179,449
179,450
180,451
180,452
180,453
181,454
181,455
181,456
182,457
182,458
182,459
184,388
184,460
184,461
185,173
185,462
185,463
186,383
186,66
186,202
187,464
187,465
187,466
188,219
188,467
188,468
189,469
189,470
189,471
190,66
190,472
190,473
191,77
191,474
191,475
192,476
192,477
193,478
193,479
193,480
194,186
194,481
194,482
195,247
195,483
195,475
196,484
196,368
196,485
197,475
197,486
197,487
198,488
198,11
198,188
199,395
199,489
199,490
200,491
200,492
200,493
201,494
201,179
201,495
202,380
202,121
202,496
203,56
203,494
203,497
204,498
204,499
204,500
205,501
205,403
205,502
206,503
206,504
206,505
207,434
207,506
207,507
208,508
208,509
208,510
209,254
209,511
209,512
210,233
210,513
210,391
211,514
211,515
211,43
212,516
212,517
212,518
213,519
213,520
213,521
214,522
214,523
214,524
215,525
215,526
215,527
216,275
216,528
216,529
217,108
217,452
217,530
218,458
218,531
218,449
219,495
219,23
219,532
220,533
220,534
220,535
220,536
222,448
222,537
222,538
223,539
223,540
223,541
225,31
225,77
225,542
226,232
226,543
226,544
226,545
227,56
227,546
227,547
228,548
228,549
228,550
229,62
229,485
229,551
232,552
232,553
232,554
233,543
233,467
233,555
234,556
234,557
234,78
235,242
235,558
235,313
236,559
236,560
236,252
237,561
237,562
237,563
238,430
238,564
238,565
240,566
240,567
240,108
241,43
241,549
241,418
244,568
244,569
244,570
246,571
246,572
246,573
247,574
247,48
247,575
249,474
249,576
249,577
251,122
251,578
251,579
252,580
252,559
252,7
253,581
253,582
253,51
254,583
254,515
254,584
256,585
256,61
256,47
257,425
257,73
257,586
258,587
258,588
258,589
259,340
259,418
259,70
260,590
260,19
260,591
261,99
261,128
261,5
262,592
262,593
262,594
263,595
263,596
263,597
265,598
265,599
265,600
266,581
266,40
266,486
268,50
268,301
268,493
269,601
269,602
269,603
270,604
270,32
270,605
271,390
271,318
271,606
272,607
272,608
272,609
274,610
274,611
274,22
275,13
275,612
275,613
276,614
276,166
276,615
277,616
277,457
277,548
278,313
278,469
278,51
279,617
279,618
279,619
280,198
280,37
280,474
281,620
281,416
281,621
282,295
282,300
282,622
283,623
283,624
283,625
286,626
286,627
286,628
286,629
287,630
287,631
287,632
288,633
288,57
288,188
289,634
289,119
289,6
290,635
290,636
290,637
292,638
292,60
292,639
293,640
293,474
293,641
294,634
294,212
294,642
295,189
295,497
295,259
296,254
296,643
296,418
297,644
297,645
297,646
299,647
299,648
299,649
300,488
300,403
300,650
302,651
302,652
302,653
303,45
303,59
303,654
304,655
304,656
304,66
305,657
305,247
305,658
306,75
306,659
306,660
307,661
307,662
307,526
308,662
308,526
308,663
310,34
310,220
310,664
311,665
311,666
311,667
312,668
312,630
312,669
313,670
313,671
313,672
314,673
314,674
314,675
315,65
315,45
315,676
316,677
316,678
316,679
317,2
317,680
317,681
318,580
318,639
318,682
319,683
319,684
319,685
320,686
320,687
320,688
324,689
324,654
324,690
325,691
325,692
325,693
326,694
326,85
326,695
327,696
327,697
327,698
329,699
329,700
329,701
330,702
330,703
330,704
331,705
331,706
331,707
332,708
332,105
332,709
333,239
333,240
333,710
334,711
334,712
334,713
335,714
335,71
335,715
336,251
336,716
336,717
337,242
337,380
337,188
338,407
338,654
338,512
339,173
339,270
339,714
340,718
340,508
340,153
341,719
341,720
341,721
342,722
342,723
342,320
343,724
343,725
343,726
344,53
344,727
344,728
345,729
345,730
345,731
347,383
347,231
347,732
348,265
348,733
348,734
349,19
349,705
349,735
350,99
350,394
350,23
351,272
351,458
351,736
352,737
352,404
352,738
353,739
353,740
353,741
354,394
354,742
354,743
355,335
355,201
355,78
356,1
356,744
356,745
357,383
357,501
357,49
358,746
358,747
358,748
359,749
359,750
359,751
360,583
360,247
360,752
361,70
361,39
361,753
362,754
362,755
362,756
363,757
363,758
363,759
364,760
364,761
364,762
365,434
365,39
365,763
367,53
367,764
367,765
368,131
368,295
368,766
369,152
369,767
369,761
370,34
370,768
370,769
371,770
371,308
371,475
372,128
372,525
372,771
374,772
374,773
374,774
375,99
375,775
375,776
376,279
376,37
376,606
377,434
377,510
377,173
378,770
378,42
378,708
379,25
379,367
379,777
380,585
380,778
380,202
381,559
381,218
381,129
382,210
382,88
382,678
383,508
383,483
383,59
384,513
384,73
384,44
386,779
386,780
386,781
390,782
390,783
390,784
391,251
391,785
391,645
392,786
392,787
392,788
393,25
393,789
393,790
394,791
394,792
394,765
396,793
396,794
396,177
397,795
397,796
397,797
398,798
398,799
398,800
399,801
399,802
399,803
400,804
400,805
400,806
401,807
401,808
401,619
404,809
404,810
404,811
406,812
406,813
406,814
408,815
408,177
408,816
409,817
409,818
409,226
410,212
410,789
410,220
411,819
412,820
412,88
412,128
413,821
413,443
413,275
414,37
414,822
414,823
415,167
415,824
415,78
416,825
416,199
416,501
417,826
417,827
417,828
419,829
419,801
419,830
420,250
420,831
420,832
421,29
421,121
421,833
423,233
423,394
423,834
424,583
424,835
424,530
425,390
425,394
425,26
426,836
426,837
426,838
427,72
427,839
427,389
428,17
428,139
428,840
429,841
429,842
429,843
430,791
430,844
430,845
431,16
431,100
431,846
432,561
432,670
432,516
433,847
433,848
433,112
434,65
434,849
434,850
435,557
435,851
435,852
436,416
436,853
436,854
437,610
437,670
437,733
438,57
438,165
438,548
439,186
439,855
439,856
440,560
440,62
440,44
441,857
441,858
441,859
442,65
442,56
442,173
443,860
443,861
443,862
444,643
444,381
444,863
445,437
445,839
445,303
446,864
446,865
446,85
447,866
447,92
447,270
448,233
448,577
448,753
449,867
449,868
449,869
450,46
450,821
450,493
451,483
451,559
451,870
452,871
452,469
452,622
453,401
453,838
453,872
454,582
454,509
454,59
455,330
455,696
455,368
456,873
456,482
456,418
457,19
457,394
457,874
458,244
458,59
458,475
459,213
459,875
459,368
460,772
460,876
460,168
461,877
461,878
461,879
462,880
462,425
462,881
463,882
463,883
463,377
464,25
464,69
464,547
465,884
465,394
465,885
466,886
466,887
466,848
467,556
467,888
467,889
468,383
468,890
468,891
469,417
469,279
469,892
470,893
470,894
470,895
471,580
471,620
471,152
472,583
472,896
472,897
473,176
473,696
473,898
474,278
474,248
474,60
475,820
475,899
475,900
476,116
476,717
476,901
477,11
477,73
477,902
478,46
478,198
478,181
479,824
479,903
479,174
480,120
480,904
480,566
481,581
481,188
481,905
483,430
483,576
483,906
484,907
484,908
484,831
485,585
485,909
485,910
486,401
486,911
486,365
487,912
487,903
487,913
488,417
488,578
488,914
489,458
489,876
489,915
490,213
490,125
490,270
491,131
491,776
491,916
492,144
492,14
492,917
493,918
493,116
493,919
494,677
494,318
494,498
495,920
495,921
495,922
496,923
496,924
497,74
497,47
497,434
498,426
498,925
498,130
499,126
499,393
499,531
500,4
500,164
500,28
501,121
501,926
501,522
502,863
502,927
502,928
503,204
503,929
503,930
504,272
504,69
504,551
505,718
505,416
505,236
507,508
507,278
507,904
508,1
508,407
508,931
509,63
509,186
509,120
510,932
510,818
510,933
511,870
511,318
511,746
513,934
513,199
513,366
514,174
514,929
514,137
515,40
515,47
515,935
516,61
516,936
516,937
517,425
517,56
517,186
518,40
518,39
518,761
519,938
519,939
519,940
520,755
520,941
520,942
521,474
521,925
521,943
522,654
522,944
522,945
523,946
523,947
523,948
524,949
524,950
524,366
525,951
525,126
525,952
526,953
526,496
526,954
527,300
527,488
527,485
528,896
528,821
528,733
529,563
529,485
529,955
530,481
530,956
530,957
531,958
531,959
531,960
532,459
532,961
532,962
533,213
533,578
533,846
534,40
534,562
534,963
535,501
535,66
535,580
536,13
536,138
536,405
537,383
537,890
537,120
538,915
538,964
538,542
539,1
539,559
539,965
540,45
540,189
540,966
541,19
541,967
541,728
542,176
542,968
542,969
543,970
543,549
543,971
544,416
544,313
544,972
546,38
546,497
546,510
547,967
547,697
547,973
548,886
548,974
548,975
549,976
549,977
549,978
550,979
550,333
550,177
551,980
551,981
551,982
552,886
552,165
552,448
553,677
553,18
553,983
554,881
554,437
554,138
555,198
555,328
555,510
556,984
556,985
556,986
557,987
557,988
557,989
558,772
558,220
558,990
559,991
559,992
559,993
560,994
560,512
560,967
561,995
561,996
561,997
561,998
562,999
562,1000
562,1001
563,1002
563,1003
563,1004
564,966
564,801
564,802
565,1005
565,82
565,1006
567,274
567,1007
567,181
568,1008
568,1009
568,1010
569,1011
569,1012
569,1013
570,1014
570,1015
570,1016
572,321
572,1017
572,1018
574,1019
574,1020
574,1021
575,1022
575,1023
575,1024
577,736
577,492
577,1025
579,1026
579,147
579,1027
580,1028
580,1029
580,1030
581,1031
581,1032
581,1033
584,658
584,1034
584,1035
585,1036
585,1037
585,1038
586,772
586,46
586,516
587,494
587,77
587,470
588,1039
588,4
588,1040
589,585
589,1041
589,301
590,508
590,835
590,1042
591,1043
591,1044
591,1045
591,1046
592,770
592,210
592,875
593,295
593,40
593,1047
594,1048
594,1049
594,1050
595,1051
595,1052
595,1053
596,1054
596,1055
596,1056
597,426
597,247
597,1057
599,1058
599,1059
599,1060
600,1061
600,1062
600,1063
601,1064
601,1065
601,1066
602,1067
602,1068
602,1069
603,43
603,1070
603,1071
604,1072
604,1073
604,1074
605,88
605,187
605,1075
606,1076
606,1077
606,1078
607,1079
607,1080
607,706
608,1081
608,399
608,443
609,401
609,164
609,1082
610,1083
610,1084
610,1085
611,1086
611,1087
611,1088
612,1089
612,584
612,748
613,481
613,1090
613,1091
614,1092
614,1093
614,1094
616,1095
616,1096
616,1097
617,1098
617,1099
617,1100
619,1101
619,1102
619,1103
620,1104
620,1105
620,1106
621,395
621,652
621,1107
623,906
623,1108
623,1109
624,856
624,1110
624,1111
626,819
626,1112
626,933
627,764
627,1113
627,1114
628,426
628,405
628,1115
629,1116
629,135
629,1117
630,510
630,1118
630,1119
631,886
631,1120
631,1121
632,1122
632,1123
632,1124
633,1125
633,1126
633,1127
634,458
634,1128
634,1129
635,475
635,112
635,1130
636,1131
636,1132
636,1133
637,13
637,557
637,1134
639,1135
639,1136
639,1137
640,45
640,651
640,139
641,1138
641,1139
641,1140
642,1141
642,1142
642,1143
643,1144
643,1145
643,1146
644,1147
644,1148
644,1149
645,1150
645,305
645,653
647,407
647,559
647,1151
648,582
648,1152
648,1150
650,744
650,639
650,964
652,1153
652,1154
652,1155
653,483
653,425
653,436
654,1156
654,1157
654,1158
656,458
656,44
656,972
658,1159
658,1160
658,1161
659,1162
659,1163
659,1164
660,40
660,1165
660,1166
661,1167
661,1168
661,899
662,1169
662,780
662,1170
663,1171
663,1172
663,1173
664,1174
664,139
664,1175
665,1176
665,1177
665,1178
668,1179
668,1180
668,1181
669,1182
669,1183
669,1184
670,1185
670,1186
670,1187
671,1188
671,1189
671,1190
672,145
672,1191
672,450
673,1192
673,1193
673,1135
674,1194
674,1195
674,1196
676,1197
676,1198
676,1199
679,514
679,1200
679,1201
680,1202
680,1203
680,1204
681,1205
681,386
681,1206
682,1207
682,1208
683,1209
683,1210
683,1211
684,1212
684,1213
684,1214
687,120
687,515
687,1215
688,951
688,272
688,174
691,1216
691,962
691,821
692,1217
692,1218
692,1219
694,966
694,1220
694,1221
695,108
695,1222
695,1223
695,1224
696,1225
696,1226
696,1227
697,434
697,669
697,764
699,1228
699,1229
699,1230
700,1231
700,1232
700,1233
701,222
701,1234
701,1235
702,1236
702,357
702,1237
703,128
703,1238
703,1239
704,1240
704,1241
705,1242
705,1243
705,722
706,1244
706,1245
706,1246
707,583
707,614
707,1247
708,643
708,771
708,1248
709,1249
709,1250
709,1251
710,1252
710,516
710,557
711,912
711,718
711,1253
712,20
712,50
712,957
713,51
713,1247
713,1254
714,242
714,1255
714,1256
715,1257
715,661
715,1258
716,1259
716,1260
716,1261
717,1262
717,506
717,1263
718,1264
718,640
718,1265
719,770
719,501
719,1266
722,1267
722,1268
722,1269
724,1270
724,1271
724,1272
725,418
725,566
725,1252
726,45
726,650
726,1070
727,1273
727,1274
727,1275
728,1276
728,1277
728,1278
731,213
731,512
731,199
732,1279
732,1280
732,1281
734,8
734,557
734,1031
735,1282
735,1283
735,1284
736,1285
736,389
736,1286
737,1287
737,1288
737,1289
739,1290
739,1141
739,1291
741,1292
741,1293
741,1294
742,938
742,563
742,1295
743,34
743,1296
743,1297
744,1298
744,1299
744,1300
745,1301
745,1302
746,1303
746,1304
746,1305
747,202
747,1306
747,1023
748,163
748,886
748,1307
749,1308
749,1309
749,1310
751,1311
751,1312
751,1313
752,1314
752,1315
752,1316
753,1317
753,1318
753,643
754,76
754,1319
754,1320
755,1321
755,1322
755,1323
757,322
757,1324
757,864
758,1325
758,1326
758,1327
759,1328
760,1329
760,1330
760,1331
761,1332
761,1333
761,747
762,77
762,1334
762,437
763,982
763,1335
763,76
764,1336
764,1337
764,1338
765,4
765,1339
765,1340
766,392
766,1341
766,994
767,1342
767,1343
767,7
768,1344
768,1176
768,1345
769,758
769,1346
769,1347
770,1348
770,1349
770,1350
772,1351
772,1352
772,1353
773,1354
773,1355
773,1356
774,1357
774,1358
774,1359
775,1194
775,1360
775,1162
776,227
776,1361
776,487
777,1362
777,1363
777,1364
778,685
778,1365
778,428
779,509
779,548
779,1366
780,915
780,270
780,566
781,417
781,1337
781,1026
782,17
782,56
782,513
783,77
783,236
783,1367
784,53
784,761
784,1368
785,57
785,1070
785,1369
786,585
786,1370
786,870
788,250
788,785
788,1371
792,1372
792,1373
792,1374
794,1375
794,1376
794,1377
795,753
795,186
795,507
796,1378
796,1379
796,1380
797,1381
797,305
797,1382
798,65
798,1383
798,1384
799,401
799,1385
799,1386
800,1362
800,1387
800,1388
801,1389
801,78
801,1390
802,254
802,1391
802,1392
803,444
803,334
803,1393
804,373
804,1394
804,1395
805,859
805,173
805,418
806,638
806,1396
806,873
808,1397
808,1398
808,1399
809,73
809,177
809,1400
810,1401
810,427
810,1402
813,1369
813,859
813,917
814,1403
814,1404
814,1405
816,1406
816,1407
816,1408
818,1036
818,1037
818,241
819,1409
819,1410
819,1411
820,1412
820,1413
820,1414
822,1415
822,1416
822,1417
824,1418
824,1419
824,1420
827,395
827,248
827,1421
828,558
828,22
828,1422
829,845
829,1423
829,1424
830,1425
830,1426
830,14
831,1427
831,1428
831,1429
832,131
832,745
832,60
833,1430
833,438
833,1431
834,1432
834,1433
834,1434
835,1435
835,429
835,1436
836,434
836,639
836,1437
837,61
837,1244
837,1438
838,584
838,1439
838,515
839,1440
839,1441
839,1442
840,778
840,1443
840,1444
843,1445
843,1446
843,1447
845,1448
845,1449
845,1450
846,1451
846,938
846,387
847,979
847,1452
847,1386
848,715
848,129
848,1453
849,677
849,443
849,1454
850,1455
850,323
850,1456
851,1457
851,740
851,1458
852,508
852,60
852,883
853,1459
854,1460
854,1461
854,1462
856,1463
856,1464
856,1465
857,1466
857,1467
857,1468
858,1469
858,16
858,870
859,1470
859,1471
859,1472
860,1473
860,1474
860,1475
861,297
861,1476
861,1324
862,1477
862,1478
862,1479
864,1480
864,923
864,711
865,1481
865,1482
865,1483
866,734
866,480
866,1484
867,202
867,1485
867,1244
869,152
869,706
869,511
870,46
870,951
870,1486
873,1487
873,1488
873,1489
874,676
874,1490
874,1491
875,1492
875,1493
875,1494
877,392
877,1495
877,1496
878,1497
878,1498
878,1499
879,846
879,414
879,132
880,121
880,1469
880,18
881,1500
881,1501
881,1502
882,479
882,71
882,64
884,1503
884,145
884,1504
885,458
885,1003
885,1505
886,1252
886,275
886,870
887,1506
887,1440
887,1507
888,1508
888,1509
888,1510
888,1511
889,1512
889,1513
890,181
890,1514
890,51
891,1515
891,1516
891,1517
892,302
892,1518
892,1519
893,583
893,806
893,1520
895,1521
895,1522
895,1523
896,1524
896,1525
896,1526
897,1527
897,1528
897,1204
898,1529
898,605
898,1530
899,1531
899,1532
899,1533
900,1531
900,1534
900,1535
901,1536
901,1537
901,1538
902,1536
902,1539
902,1540
903,1530
903,1541
903,1542
904,1530
904,1543
904,1544
905,1545
905,1546
905,1547
906,1548
906,1528
906,1549
907,1537
907,1550
907,1551
908,1529
908,1552
908,1553
909,8
909,1216
909,1554
910,1555
910,1032
910,8
911,1529
